t,xlin,xnlin
25.659999999999542,-0.5511306440567131,-0.282829331694913
25.67999999999954,-0.5525721588159777,-0.2789799065977651
25.69999999999954,-0.5578405989566754,-0.26867213569740067
25.71999999999954,-0.5501262720159191,-0.26609053284692585
25.73999999999954,-0.5609726958816739,-0.2562975926628577
25.75999999999954,-0.560825279551716,-0.25925321238648846
25.77999999999954,-0.5541150707971335,-0.2663349561055538
25.79999999999954,-0.5647443136857949,-0.2493249299112489
25.81999999999954,-0.5630244011953569,-0.2506034514618885
25.839999999999538,-0.5516069165402683,-0.2471649498903316
25.859999999999538,-0.5401836743952318,-0.25003229025558443
25.879999999999537,-0.5469770558531483,-0.2460418270806266
25.899999999999537,-0.5589316158908022,-0.23802793099084568
25.919999999999536,-0.5499152920243531,-0.2336194535871059
25.939999999999536,-0.5557336774774316,-0.22277123396905452
25.959999999999535,-0.561554907803821,-0.22407154637605695
25.979999999999535,-0.5580478723383373,-0.21099752373658706
25.999999999999535,-0.549319981473355,-0.19600452917732572
26.019999999999534,-0.5520811760331813,-0.18324358875342936
26.039999999999534,-0.5446012357295905,-0.1818975546691223
26.059999999999533,-0.5454278261354545,-0.16323390778203276
26.079999999999533,-0.5416355721873384,-0.1486200233558623
26.099999999999532,-0.5427384321086777,-0.1368791790373506
26.119999999999532,-0.5365116059065375,-0.12200543366715379
26.13999999999953,-0.552515293184597,-0.12198067334007488
26.15999999999953,-0.5581321717326952,-0.10872981110286746
26.17999999999953,-0.5636289172353193,-0.10381327432978722
26.19999999999953,-0.5593167044386054,-0.07477577024159411
26.21999999999953,-0.5560588885606901,-0.06773611218292543
26.23999999999953,-0.5514339257141321,-0.07564271481701618
26.25999999999953,-0.5567979891720863,-0.07068612632231706
26.27999999999953,-0.5610440382510075,-0.0728313429774154
26.299999999999528,-0.5692593248700915,-0.056143014945588376
26.319999999999528,-0.5599219997943436,-0.048713246150400756
26.339999999999527,-0.5607014923923924,-0.040807876402609966
26.359999999999527,-0.551457766889656,-0.02925547506947
26.379999999999526,-0.5430440360164699,-0.018877709754687565
26.399999999999526,-0.5442914412843837,-0.004841988674895482
26.419999999999526,-0.5367401348563056,0.01172253308995811
26.439999999999525,-0.5429938217153369,0.02353668055652826
